topic,title,passage
1,Why Are Teenagers Crazy about Bubble Tea?,"Jisoo had never tried bubble tea until her friend gave her a sip at lunch. The drink was cold and sweet, and the tapioca balls were so fun to chew.

Since that day, she has gone to bubble tea shops every weekend. She tries new flavors and often posts pictures of her drinks online. Her favorite so far has been brown sugar with extra pearls.

Last Saturday, she met some friends at a new shop that had just opened. They laughed, took selfies, and shared sips from each other’s cups. If she hadn’t tried it that first time, she might never have realized how fun it could be. For Jisoo and many other teens, bubble tea isn’t just a drink—it’s part of their weekend adventure."
2,Why Do People Love the Holidays?,"Have you ever wondered why so many people smile more during the holidays? Christmas is a time when cities glow with colorful lights, and people exchange gifts to show love and care. Many children wait excitedly for Santa, who is said to bring presents to those who have behaved well.

Families gather to eat delicious food, decorate trees, and enjoy music together. Some people like to watch classic Christmas movies or drink hot chocolate by the fire. Others give to those in need because they want to share joy.

Even if it’s cold outside, the warm feeling in people’s hearts makes the season special. That may be why Christmas has been loved by so many for generations—and why it still brings happiness today."
3,Sticker Photo Culture: Why Do We Enjoy Taking Sticker Photos?,"Sticker photo booths have become a big part of Korean teen culture. You can find them almost everywhere—on busy streets, malls, and schools. There are over 3,000 booths across Korea, and their number keeps growing.

Many students enjoy decorating their photos with cute frames, stickers, and fun effects. These photos aren’t just pictures—they show who we are and how we express ourselves. Recently, sticker photos have become popular with foreign tourists, too. Many visitors try them when they come to Korea because it’s a fun and unique way to make memories with friends.

Sticker photos turn small moments into something special. If you’ve taken one before, you probably still remember how fun it was. And if you haven’t, maybe it’s time to try!"
4,Why Is Retro Style Cool Again?,"Hana: Hey, is that a cassette player?

Jisoo: Yup! It was my dad’s. I found it in the closet, and it still works!

Hana: That’s so cool. Retro stuff is everywhere lately. I’ve even seen people wearing 90s windbreakers.

Jisoo: I know. I’ve been listening to old K-pop songs, and some of them sound better than the new ones.

Hana: I’ve started wearing my mom’s vintage jeans. At first, I thought people would laugh, but they actually said I looked trendy.

Jisoo: If we had worn this stuff a few years ago, people might’ve thought we were weird. Now it’s in style!

Hana: Retro just has a different vibe. It feels more fun and original.

Jisoo: Totally. I love mixing old and new. It’s like bringing history back—with a twist."
5,Día de los Muertos: How Do Mexicans Celebrate Life Through Memory?,"One of the most unique festivals in Mexico is Día de los Muertos, or the Day of the Dead. It is celebrated on November 1st and 2nd to honor family members who have passed away. Instead of being sad, this festival is colorful and full of life.

Families build altars at home and decorate them with flowers, candles, food, and photos of loved ones. People also visit graves, bring gifts, and share stories. It’s a time to remember, not to cry.

Skulls made of sugar and skeleton decorations are typical but not scary—they’re symbols of love and memory. Día de los Muertos shows that remembering someone can be beautiful. This festival teaches us that love continues, even after someone is gone."
6,Digital Detox: Can You Live Without Your Phone?,"Imagine a whole day without your phone—no chatting, no games, no videos—just real life. Sounds difficult, right? But some people say a digital detox is the best way to feel sound again.

Many students check their phones every few minutes. I’ve done it too. But when I tried one day without my phone, I was surprised. I had more time to communicate with my family, go outside, and even finish my homework faster. It felt good!

Of course, phones are useful. We need them for school, music, and staying in touch. But if we use them too much, we might miss the world around us. You might think, ""I can’t live without it!"" But you never know—maybe you can. Try a short digital detox. You might enjoy it more than you expect."
7,What Brings Yuna’s Break from Social Media?,"Yuna used to check her phone every few minutes. She posted selfies, watched videos, and counted how many likes she got. When her friends didn’t comment, she felt a little disappointed. Maybe I’m not interesting enough, she thought.

One day, her phone broke. At first, she panicked. ""How will I know what’s happening?"" she cried. But after a few days, something changed. She read a book for pleasure. She took a walk without taking pictures. She even communicated more with her family.

When her phone was fixed, she didn’t rush to post. She had realized something important. ""I like social media,"" she said, ""But I don’t need it to be happy."" Yuna still uses her apps, but not all the time. She has found a better balance, and that has made her smile more than any number of likes."
8,How Did K-Pop Become Part of My Life and Everyone Else’s?,"I still remember the first time I heard K-pop. It was BTS’s ""Dynamite,"" and I couldn’t stop dancing. Since then, I’ve watched music videos, learned dances, and even followed fan accounts from other countries. I never expected people in Brazil, Germany, or the U.S. to love K-pop as much as I do—but they really do!

One time, I joined a live concert stream online. Fans from all over the world were cheering in the chat. If you had seen it, you would’ve felt the energy too. Some even typed messages in Korean!

K-pop isn’t just about music. It’s the style, the stories, the teamwork. The more I learn, the more I admire the effort idols put in. They train so hard before they even debut. I smile when I hear K-pop playing in a store or a cafe. It feels like a part of home is everywhere."
9,How Can Minji’s Late-Night Shopping Habit Be Fixed?,"It was 11:45 p.m., and Minji was still scrolling through an online shopping app. ""Only five left in stock!"" the message said. Her finger hovered over the buy button. ""Do I really need this?"" she asked herself. Still, she clicked ""Order.""

The following day, she barely remembered what she had bought. Packages kept arriving—small things like keychains, socks, and notebooks. Her room was filling up, but she didn’t feel excited anymore. One day, her dad asked, ""How many of these things do you actually use?"" Minji looked around and didn’t know what to say. She realized she had been shopping out of boredom, not a necessity.

After that, she made a simple rule: no shopping after 9 p.m. At first, it was hard, but soon, she felt more in control. Online shopping was still fun—but now, she was the one making the decisions, not the app."
10,"One Family, Two Screens: How Family Time Disappears?","Minho sat on the couch, watching a drama on his tablet. His mom entered the room and turned on the TV. ""Aren’t you going to watch with me?"" she asked. Minho smiled. ""I already finished this episode last week,"" he said. ""On Netflix.""

When Minho was younger, his family used to watch shows together every evening. But now, everyone watches something different on their own screens. His sister liked YouTube, and his dad only watched live soccer on TV. Minho realized that things had really shifted.

That night, he missed the feeling of watching the same episode together as a family. He thought that if we didn’t all use OTT separately, maybe we would still watch TV as a family. The next day, he suggested a family movie night—with popcorn and just one screen. Everyone agreed. Streaming was great, but sometimes, sharing the moment was even better."
