text_id,lexile_band,lexile_score,age_group,grade_hint,genre,topic,word_count,length_type,text_body,sentence_count,avg_sentence_length,vocabulary_band,intended_use,created_date,notes
L300-NAR-050-001,300-500,320,Upper Elementary,초3,Narrative,The Lost Key,44,Micro,"Sam lost his house key on the way home from school. He looked in his bag and his pockets, but it was not there. He felt worried because Mom was not home yet. Then he found it under a big leaf near the door.",4,11.0,A1,워밍업,2026-02-03,Simple past tense narrative; common vocabulary; short problem-resolution arc
L300-NAR-100-001,300-500,360,Upper Elementary,초3,Narrative,A Camping Trip,97,Short,"Last summer, my family went on a camping trip to the mountains. We set up our tent near a small river. Dad made a fire, and we cooked hot dogs for dinner. After dinner, we sat around the fire and told funny stories. I laughed so hard because Dad's story was really silly. At night, I heard strange sounds outside the tent. I was a little scared, but Mom said it was just the wind. The next morning, we went hiking and saw beautiful birds. It was the best trip ever, and I want to go again.",9,10.8,A1,수업,2026-02-03,Past tense narrative; family topic; natural dialogue and emotion; compound sentences with and/but/because/so
L300-NAR-200-001,300-500,400,Upper Elementary,초4,Narrative,My Best Friend,204,Medium,"My best friend is Jimin. We met on the first day of second grade. I was new at the school, and I did not know anyone. I sat alone at lunch because I was too shy to talk. Then Jimin walked over and sat next to me. He smiled and said hello. He shared his snacks with me, and we started talking about our favorite cartoons. After that day, we did everything together. We walked to school together every morning. We played soccer at recess, and we always picked each other for team projects. One time, I was sick for a whole week. Jimin came to my house every day after school. He brought my homework and told me funny things that happened in class. That made me feel much better. Last year, Jimin moved to a different city because his dad got a new job. I was very sad, but we still talk on the phone every weekend. He tells me about his new school, and I tell him about ours. We are different in many ways. He likes math, but I like reading. He is tall, but I am short. None of that matters, though. Jimin is still my best friend, and he always will be.",22,9.3,A1/A2,수업,2026-02-03,Past and present tense mix; friendship and school life theme; emotional depth; frequent use of conjunctions
L300-EXP-050-001,300-500,380,Upper Elementary,초3,Expository,The Water Cycle,43,Micro,"Water moves in a cycle around the Earth. The sun heats water in rivers and oceans, so it turns into vapor. The vapor goes up into the sky and forms clouds. When the clouds get heavy, rain falls back down to the ground.",4,10.8,A1/A2,워밍업,2026-02-03,Present tense expository; basic science vocabulary; cause-effect with so/when
L300-EXP-100-001,300-500,420,Upper Elementary,초4,Expository,How Plants Grow,100,Short,"Plants need a few important things to grow. They need sunlight, water, and good soil. A seed is planted in the soil first. Then water helps the seed start to grow. A small root pushes down into the ground, and a tiny stem grows up toward the light. The stem gets taller, and leaves begin to appear. Leaves are important because they take in sunlight. The plant uses sunlight to make its own food. This process is called photosynthesis. Different plants grow at different speeds. Some flowers grow in just a few weeks, but a big tree can take many years.",11,9.1,A1/A2,수업,2026-02-03,Present tense expository; basic academic words (important/different/process); science topic with simple explanation
L300-EXP-200-001,300-500,450,Upper Elementary,초4,Expository,Animal Habitats,202,Medium,"Animals live in many different places around the world. The place where an animal lives is called its habitat. A habitat gives an animal food, water, and shelter. There are several important types of habitats. Forests are home to many animals. Bears, deer, and squirrels all live in forests. Trees give them food and a safe place to hide. The forest floor is covered with leaves, and many insects live there too. Oceans are another large habitat. Fish, whales, and dolphins swim in the ocean. Some sea animals live near the top of the water because they need air. Others live deep below where it is very dark and cold. Deserts are hot and dry, but some animals still live there. Camels can go a long time without water, so they do well in the desert. Lizards hide under rocks during the day because the sun is too strong. The Arctic is one of the coldest habitats on Earth. Polar bears have thick fur, so they stay warm. Penguins live in large groups and huddle together for warmth. Every animal is special and fits its habitat in an important way. Scientists study habitats to understand how animals survive. Protecting these places is important for all living things.",21,9.6,A1/A2,수업,2026-02-03,Present tense expository; academic vocabulary (habitat/shelter/process/protect); structured by habitat type; cause-effect reasoning
L300-INF-100-001,300-500,380,Upper Elementary,초3,Informational,Korean Holidays,97,Short,"Korea has many special holidays during the year. Seollal is the Korean New Year. Families get together and eat a special rice cake soup called tteokguk. Children bow to their grandparents and get money as a gift. Chuseok is another important holiday. It happens in the fall, and families visit their hometowns. They share delicious food like songpyeon, which are small rice cakes. People also remember family members who are no longer alive. Children's Day is on May fifth. Kids get presents, and many families go to parks or amusement parks. These holidays bring families closer together.",11,8.8,A1/A2,수업,2026-02-03,Present tense informational; Korean cultural content; simple definitions provided in context
L300-PRO-050-001,300-500,340,Upper Elementary,초3,Procedural,Making Origami,47,Micro,"Making an origami cup is easy and fun. First, get a square piece of paper. Fold it in half to make a triangle. Then fold each corner to the opposite side. Finally, open the top part and push it down. Now you have a little paper cup!",6,7.8,A1,워밍업,2026-02-03,Sequential procedural text; transition words (first/then/finally); imperative and declarative mix
L300-PRO-100-001,300-500,400,Upper Elementary,초4,Procedural,Simple Science Experiment,100,Short,"You can make a simple volcano at home. You need baking soda, vinegar, a small cup, and a plate. First, put the cup on the plate. Then add two big spoons of baking soda into the cup. You can add a few drops of red food coloring because it looks like real lava. Now pour some vinegar into the cup slowly. The mixture will bubble up and flow over the cup. This happens because the baking soda and vinegar mix together and make a gas called carbon dioxide. The gas makes all the bubbles. It is a fun and safe experiment!",10,10.0,A1/A2,수업,2026-02-03,Procedural with explanation; sequential steps; cause-effect with because; basic science vocabulary
L300-LIT-050-001,300-500,330,Upper Elementary,초3,Literary,Seasons,44,Micro,"Spring brings flowers and baby birds. Summer fills the days with sunshine and play. Fall paints the leaves in red and gold. Winter covers the world in soft white snow. Each season is different, but every one is beautiful in its own special way.",5,8.8,A1,워밍업,2026-02-03,Literary descriptive; nature imagery; parallel structure; simple figurative language (paints/covers)
